Date,AAPL,NIO,TSLA,GE,C,CCL,PTON,F,BAC,AMD,NKLA,INO,SIRI,VALE,WFC,AAL,DKNG,OXY,NCLH,ORCL,PCG,COTY,INTC,SNAP,QRTEA,NOK,XOM,JPM,UBER,M,DAL,MSFT,MRO,UAL,T,ABEV,TSM,ITUB,PFE,WKHS,GM,CSCO,ET,SQ,CMCSA,PBR,NVDA,PLUG,MGM,AM,FCX,NLY,BA,MU,KGC,KMI,AUY,PINS,BBD,SCHW,KR,BP,OPK,GOLD,HST,WMB,PENN,KHC,GFI,SLB,MRK,ROKU,LYFT,WMT,CVS,LUV,FDX,HBAN,KO,VZ,LI,APPS,EPD,MRNA,TME,APA,SPCE,DVN,CVX,OSTK
1/4/2021,127.679985,53.49000168,243.2566681,64.84116364,55.55475235,20.37999916,145.9600067,7.627537251,28.6068573,92.30000305,16.07999992,9.729999542,5.772985458,13.68874073,28.44699669,15.13000011,44.86000061,17.2309742,23.72999954,61.22492218,12.21000004,6.760000229,46.00580978,49.59000015,9.21587944,3.747599363,37.31703568,117.2367554,51.13999939,10.64210129,38.72999954,213.3419952,6.624585152,41.63000107,18.2832737,2.714512587,107.066658,4.441479206,33.99759674,21.42000008,40.23429871,41.10412216,5.140099525,221.1600037,47.59743881,5.604549885,130.8759308,32.16999817,29.68146896,6.012751579,26.31801796,24.63206482,202.7200012,73.15326691,7.553465366,11.77528095,6.057433128,68.06999969,4.508742332,51.47270203,30.70198059,18.79222679,4.199999809,22.71761131,13.58741188,17.67709923,80.88999939,31.17781067,9.562624931,21.15655518,71.72452545,317.8999939,47.27999878,141.424408,65.75444031,44.56998444,243.9592133,11.37977219,49.29962921,51.69482422,32.45999908,52.31999969,16.22905731,111.7300034,19.37000084,14.26347923,23.20999908,13.80786228,77.01171112,49.45999908
1/5/2021,129.258606,53.20000076,245.0366669,66.69907379,56.99581528,20.60000038,148.5299988,7.743917942,28.82595825,92.76999664,16.03000069,9.260000229,5.838481426,13.91688728,29.24197769,15.43000031,47.58000183,18.96888351,24.23999977,60.4662056,12.38000011,6.889999866,46.87646866,50.31000137,9.819195747,3.892108202,39.11544418,117.8746719,54.00999832,10.80334568,39.54999924,213.547821,7.22593832,43.40000153,18.17148972,2.778062582,108.0922852,4.411316872,34.3485527,22.43000031,41.37646866,41.12281418,5.443449497,229.75,47.31344604,5.769831181,133.7826691,32.54999924,30.34105682,6.51709795,27.51076508,24.5422802,211.6300049,76.32440186,7.468275547,12.07052898,6.007700443,68.41999817,4.467639446,51.48245621,30.48220634,20.19059181,4.25,22.40388489,13.39536285,18.21356773,86.98000336,30.57665825,9.280835152,22.29389381,71.84855652,335.1799927,48.84999847,140.6716156,66.19600677,45.16372299,243.9495544,11.63346195,48.75766754,51.45764923,30.98999977,51.61000061,16.80957222,109.1800003,20.45999908,15.62512684,24.12000084,14.86079025,79.09360504,53.72999954
1/6/2021,124.9075546,50.5,251.9933319,70.35297394,60.2751503,20.39999962,143.7599945,7.91401577,30.62639046,90.33000183,16.20000076,9.340000153,6.100463867,14.28664112,31.31085014,15.52000046,48.99499893,19.74896622,24.32999992,60.3216095,12.38000011,6.960000038,47.33031845,49.81999969,9.932864189,3.892108202,40.11356735,123.4095764,52.47999954,11.86565971,40.38000107,208.0106354,7.274435043,43.54000092,18.52547836,2.787141323,110.8144913,4.524429321,34.05300903,23.64999962,42.68748856,41.51553726,5.578271389,226.8899994,47.86250305,5.819916725,125.8957977,35,31.16054726,6.619542122,29.24655342,24.60213852,211.0299988,76.17621613,7.581861973,12.46998692,6.027593613,67.11000061,4.574864864,56.00924683,30.77842903,21.11982727,4.400000095,22.6068821,14.16355801,18.90834427,89.20999908,30.91366959,9.053588867,23.52762794,72.98253632,342.9500122,47.45999908,141.5498962,68.16892242,46.26213837,244.3156891,12.77506256,47.20653915,52.08133316,31.76000023,49.09000015,17.65089035,116.2600021,20.95000076,16.26249313,24.17000008,15.6825819,81.6391449,54.29999924
1/7/2021,129.1697998,54.27999878,272.0133362,69.79559326,60.98643875,20.73999977,154,8.110970497,31.30273819,95.16000366,17.81999969,9.43999958,6.00689888,14.89240742,32.01963425,15.38000011,49.77000046,20.31181145,24.65999985,60.80362701,12.31000042,7,48.33991623,52.43999863,9.871658325,3.843938589,40.42828751,127.4622269,56.13000107,11.57162476,40.22999954,213.9300232,7.458720207,43.61999893,18.57515907,2.714512587,116.393074,4.607376575,34.22849274,27.60000038,43.02517319,42.03914642,5.603550911,239.4799957,47.95716476,5.854976654,133.1763763,47.29000092,30.58090591,6.643184185,30.22596169,24.60213852,212.7100067,78.15200043,7.411482334,12.67840004,5.848556042,71.37999725,4.628474712,57.61899567,30.40575981,21.57091141,4.480000019,22.85601997,14.09634018,18.94351959,87.5,30.69051743,8.889968872,23.9806366,74.43544769,379.2900085,48.84000015,141.5402374,69.51239014,46.83608627,237.0602417,13.08311367,46.68326569,51.96413422,35.09000015,51.56999969,17.92852592,115.0899963,20.60000038,16.52322769,25.12999916,15.89659023,82.02097321,57.38999939
1/8/2021,130.2847137,58.91999817,293.3399963,70.22910309,60.38600922,20.46999931,158.8800049,8.057255745,30.98838425,94.58000183,17.75,9.220000267,5.529715061,14.8845377,31.78975677,15.13000011,52,19.82796097,24.43000031,61.10249329,12.23999977,6.809999943,47.8397522,52.72999954,9.688040733,3.786135197,40.87789154,127.6029739,53.27999878,11.64750385,40.02000046,215.2334595,7.32293129,43.29000092,18.44706154,2.787141323,113.7667236,4.577211857,34.29314804,25.56500053,42.76694489,42.1326561,5.670962334,241.4499969,48.79021072,5.854976654,132.5052185,53.77999878,31.34043121,6.367369652,30.20656395,24.81164551,209.8999939,76.48244476,6.985535145,12.58287621,5.510374069,71.87000275,4.565928936,57.54094315,30.22420502,22.01297569,4.400000095,22.117836,14.13475037,18.73244667,93.75,30.62220383,8.535461426,23.94208527,73.55838013,399.1300049,47.5,141.5209503,70.3297348,46.48973846,236.0292511,13.07405376,47.72981644,51.31602859,34.29999924,52.11000061,17.99583054,112.75,21.04999924,16.01140404,25.21999931,15.50281811,82.80281067,53.63999939
1/11/2021,127.2557449,62.70000076,270.3966675,70.91035461,61.3744278,20.13999939,152.3399963,8.325832367,31.50278664,97.25,17.07999992,9.090000153,5.557784557,14.64066124,31.83764458,15,53.59999847,19.82796097,24.13999939,60.76506424,12.21000004,6.809999943,47.73786545,54.38000107,9.897889137,3.728331089,42.11879349,129.5073395,54.59000015,11.91308403,39.40999985,213.1459808,7.410224438,42.70000076,18.35171127,2.687276602,117.5145416,4.449022293,34.88424683,25.76000023,44.7036705,42.41316605,5.755225658,225.5,48.77127838,5.709728718,135.9458771,53.97000122,30.77079201,6.383131027,29.4017067,24.48242188,206.7899933,77.7173233,6.824622154,12.79997253,5.381069183,71.69999695,4.431899548,58.779953,30.34842682,21.99493599,4.360000134,21.7026062,13.79866505,18.91713333,100.3799973,29.92085838,8.290032387,24.08666039,75.30366516,403.1300049,48.36999893,142.1579437,71.46651459,46.94493866,236.3665009,13.34586334,46.90753555,51.0141716,32.79000092,50.63999939,18.3155365,117.2600021,20.97999954,16.08866501,24.92000008,15.69114113,83.27555847,51.99000168
1/12/2021,127.0781479,62.04000092,283.1466675,72.95404816,61.58688354,20.12999916,156.0399933,8.755552292,32.06482697,95.36000061,18.71999931,9.100000381,5.501645088,14.71932983,32.50811005,15.38000011,53.38999939,22.33608246,24.52000046,60.17699051,12.18000031,6.920000076,49.31245804,56.45000076,10.33507538,3.863206625,43.05397034,131.543045,58.54000092,12.30196571,40.29999924,210.6371307,8.13766861,44.08000183,18.27542877,2.896085024,117.8979568,4.547050476,34.33932114,25.02000046,47.4945488,42.81523132,6.016443729,227.5200043,47.34183884,5.87000227,134.5811157,66.01999664,30.27109909,6.674706459,30.05141449,24.60213852,208.4100037,78.49774933,6.862483501,13.20811272,5.371122837,75.06999969,4.539122581,59.70677567,30.11909676,22.56330299,4.46999979,21.7210598,14.00991917,19.72623634,105.9499969,29.3106041,8.535461426,25.19509315,73.61153412,415.2900085,50.68000031,143.7794037,71.64502716,47.62773895,239.9604797,13.49988842,46.82342911,50.83659744,36.75,54.84999847,18.85397911,124.5500031,21.45999908,17.89453506,26.65999985,16.87247086,84.8574295,60.68000031
1/13/2021,129.1402283,62.15000153,284.8033447,71.65350342,61.76239777,20.10000038,167.4199982,8.755552292,31.87430573,91.77999878,20.04999924,9.229999542,5.511001587,14.27877331,32.37401581,15.52999973,54.63000107,22.04972267,24.61000061,59.82993317,12.10000038,7.150000095,52.74877167,53.43000031,9.932864189,3.83430481,43.53954315,131.6650391,59.40000153,12.51063251,40.45000076,212.0189667,7.798194408,44.43000031,18.1864357,2.796220064,114.2843246,4.494263172,34.04377747,24.54000092,48.39835358,42.41316605,6.100708008,230.9199982,47.48383713,5.614566326,135.0501862,69.5,30.0212574,6.580141544,29.63443756,24.5722084,207.2100067,78.94231415,6.796224594,13.29495144,5.261711121,72.76000214,4.530187607,58.05801392,30.56820679,22.35580444,4.440000057,21.77642632,14.16355801,19.55913734,104.2099991,29.155756,8.353661537,24.53966904,72.94710541,408.6000061,49.77999878,142.3123779,70.3861084,47.48920059,243.0245514,13.47270584,46.87015152,50.65903473,35.54999924,57.61999893,19.13161469,124.0599976,21.14999962,17.18956947,27.55999947,16.37597084,84.77560425,59.61999893
1/14/2021,127.1866913,60.86999893,281.6666565,72.21088409,63.74847031,20.92000008,165.25,9.104699135,32.37919235,90.79000092,21.30999947,9.369999886,5.454862595,14.90027428,33.28393936,16.44000053,54.91999817,23.93574524,26.42000008,59.38645935,11.82999992,7.170000076,54.87908936,49.02999878,10.8247242,3.940277815,45.23903275,132.4342651,56.90999985,13.14612484,41.47000122,208.765274,8.409246445,46.29000092,18.6186924,2.901135445,121.2048187,4.750649452,33.94217682,24.61000061,51.17929459,42.21681213,6.00801754,232.7899933,46.93478394,5.774839878,131.7417145,66.54000092,30.26111031,6.721988201,31.0211277,24.87150574,209.9100037,80.31546783,6.805691719,13.58151817,5.291551113,70.95999908,4.744633198,57.88240433,31.66709137,22.97830009,4.519999981,21.85024452,14.4132185,19.95489311,106.4300003,29.21951866,8.326392174,25.02159882,72.79647827,418.4599915,48.74499893,141.8491058,70.50824738,48.31053925,246.9268951,13.59049225,46.00115204,50.64128876,34.70000076,59.97000122,19.45972633,129.7200012,21.70000076,17.72070694,33.02999878,17.36041451,86.81204224,64.06999969
1/15/2021,125.4403458,56.27000046,275.3866577,70.16716766,59.33291626,20.79000092,157.8099976,8.80031395,31.44562912,88.20999908,19.73999977,9.659999847,5.426793098,13.87755108,30.68827248,15.76000023,53.70000076,22.10896492,25.37999916,59.55998611,12.23999977,6.900000095,53.33229446,50.31000137,10.34381962,3.930643797,43.06295776,130.0608215,55.52000046,12.33990383,39.97999954,208.4026642,8.001877785,43.88999939,18.5424099,2.782535553,120.0354385,4.494263172,33.89599991,23.34000015,49.62991714,42.47861862,5.90690136,227.75,46.09226608,5.459302425,128.3409424,60.13999939,29.7814064,6.698346138,29.43079948,24.81164551,204.3200073,79.74250031,6.587985039,13.45126057,5.042887688,69.75,4.503382206,57.31655121,32.20220566,21.88667297,4.550000191,21.35197067,14.10594082,19.78779602,99.11000061,29.13754272,8.080963135,24.00955391,73.86845398,408.2999878,47.88000107,139.6002655,71.64502716,46.17308044,243.3521576,13.37304497,45.50591278,50.94314575,32.59999847,55.99000168,19.29987717,129.6499939,22.20999908,16.67774582,30.43000031,16.75262642,83.72103119,59.52000046
